Sequence Name	Name	Type	Minimum	Maximum	Length	Direction
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	rnz CDS	CDS	120695	121612	918	forward
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	rnz gene	gene	120695	121612	918	forward
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	elaA CDS	CDS	120169	120630	462	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	elaA gene	gene	120169	120630	462	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	elaB CDS	CDS	119809	120114	306	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	elaB gene	gene	119809	120114	306	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	menF CDS	CDS	118435	119730	1296	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	menF gene	gene	118435	119730	1296	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	menD CDS	CDS	116676	118346	1671	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	menD gene	gene	116676	118346	1671	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase CDS	CDS	115921	116679	759	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	gene	gene	115921	116679	759	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	1,4-dihydroxy-2-naphthoyl-CoA synthase CDS	CDS	115049	115906	858	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	gene	gene	115049	115906	858	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	menC CDS	CDS	114087	115049	963	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	menC gene	gene	114087	115049	963	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	menE CDS	CDS	112735	114090	1356	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	menE gene	gene	112735	114090	1356	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	pmrD CDS	CDS	112359	112625	267	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	pmrD gene	gene	112359	112625	267	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	4-amino-4-deoxy-L-arabinose-phospho-UDP flippase CDS	CDS	111979	112365	387	forward
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	gene	gene	111979	112365	387	forward
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	arnE CDS	CDS	111644	111979	336	forward
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	arnE gene	gene	111644	111979	336	forward
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	4-amino-4-deoxy-L-arabinose lipid A transferase CDS	CDS	109995	111647	1653	forward
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	gene	gene	109995	111647	1653	forward
ESC_JB6292AA_AS_NODE_2_length_110952_cov_14.743876	dimethyl sulfoxide reductase subunit A CDS	CDS	109845	110780	936	reverse
ESC_JB6292AA_AS_NODE_2_length_110952_cov_14.743876	gene	gene	109845	110780	936	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	arnD CDS	CDS	109105	109995	891	forward
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	arnD gene	gene	109105	109995	891	forward
ESC_JB6292AA_AS_NODE_3_length_108688_cov_15.046210	folD CDS	CDS	107555	108421	867	reverse
ESC_JB6292AA_AS_NODE_3_length_108688_cov_15.046210	folD gene	gene	107555	108421	867	reverse
ESC_JB6292AA_AS_NODE_2_length_110952_cov_14.743876	dimethyl sulfoxide reductase subunit A CDS	CDS	107361	109757	2397	reverse
ESC_JB6292AA_AS_NODE_2_length_110952_cov_14.743876	gene	gene	107361	109757	2397	reverse
ESC_JB6292AA_AS_NODE_3_length_108688_cov_15.046210	ybcJ CDS	CDS	107341	107553	213	reverse
ESC_JB6292AA_AS_NODE_3_length_108688_cov_15.046210	ybcJ gene	gene	107341	107553	213	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	arnA CDS	CDS	107126	109108	1983	forward
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	arnA gene	gene	107126	109108	1983	forward
ESC_JB6292AA_AS_NODE_3_length_108688_cov_15.046210	membrane protein CDS	CDS	106766	107233	468	reverse
ESC_JB6292AA_AS_NODE_3_length_108688_cov_15.046210	gene	gene	106766	107233	468	reverse
ESC_JB6292AA_AS_NODE_2_length_110952_cov_14.743876	dimethylsulfoxide reductase CDS	CDS	106733	107350	618	reverse
ESC_JB6292AA_AS_NODE_2_length_110952_cov_14.743876	gene	gene	106733	107350	618	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	arnC CDS	CDS	106158	107126	969	forward
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	arnC gene	gene	106158	107126	969	forward
ESC_JB6292AA_AS_NODE_2_length_110952_cov_14.743876	ynfH CDS	CDS	105877	106731	855	reverse
ESC_JB6292AA_AS_NODE_2_length_110952_cov_14.743876	ynfH gene	gene	105877	106731	855	reverse
ESC_JB6292AA_AS_NODE_3_length_108688_cov_15.046210	cysteine--tRNA ligase CDS	CDS	105291	106676	1386	forward
ESC_JB6292AA_AS_NODE_3_length_108688_cov_15.046210	gene	gene	105291	106676	1386	forward
ESC_JB6292AA_AS_NODE_2_length_110952_cov_14.743876	Tat proofreading chaperone DmsD CDS	CDS	105220	105834	615	reverse
ESC_JB6292AA_AS_NODE_2_length_110952_cov_14.743876	gene	gene	105220	105834	615	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase CDS	CDS	104997	106154	1158	forward
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	gene	gene	104997	106154	1158	forward
ESC_JB6292AA_AS_NODE_4_length_105548_cov_14.844644	DNA-invertase CDS	CDS	104746	105165	420	reverse
ESC_JB6292AA_AS_NODE_4_length_105548_cov_14.844644	gene	gene	104746	105165	420	reverse
ESC_JB6292AA_AS_NODE_3_length_108688_cov_15.046210	ppiB CDS	CDS	104623	105117	495	reverse
ESC_JB6292AA_AS_NODE_3_length_108688_cov_15.046210	ppiB gene	gene	104623	105117	495	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	histidine phosphatase family protein CDS	CDS	104105	104707	603	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	gene	gene	104105	104707	603	reverse
ESC_JB6292AA_AS_NODE_3_length_108688_cov_15.046210	lpxH CDS	CDS	103898	104620	723	reverse
ESC_JB6292AA_AS_NODE_3_length_108688_cov_15.046210	lpxH gene	gene	103898	104620	723	reverse
ESC_JB6292AA_AS_NODE_2_length_110952_cov_14.743876	voltage-gated ClC-type chloride channel ClcB CDS	CDS	103769	105025	1257	reverse
ESC_JB6292AA_AS_NODE_2_length_110952_cov_14.743876	gene	gene	103769	105025	1257	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	nudI CDS	CDS	103641	104066	426	forward
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	nudI gene	gene	103641	104066	426	forward
ESC_JB6292AA_AS_NODE_4_length_105548_cov_14.844644	major tail sheath protein CDS	CDS	103496	104686	1191	reverse
ESC_JB6292AA_AS_NODE_4_length_105548_cov_14.844644	gene	gene	103496	104686	1191	reverse
ESC_JB6292AA_AS_NODE_3_length_108688_cov_15.046210	purE CDS	CDS	103271	103780	510	reverse
ESC_JB6292AA_AS_NODE_3_length_108688_cov_15.046210	purE gene	gene	103271	103780	510	reverse
ESC_JB6292AA_AS_NODE_2_length_110952_cov_14.743876	bioD 1 CDS	CDS	103121	103816	696	forward
ESC_JB6292AA_AS_NODE_2_length_110952_cov_14.743876	bioD 1 gene	gene	103121	103816	696	forward
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	porin CDS	CDS	102966	103361	396	reverse
ESC_JB6292AA_AS_NODE_1_length_121762_cov_15.158793	gene	gene	102966	103361	396	reverse
ESC_JB6292AA_AS_NODE_4_length_105548_cov_14.844644	major tail tube protein CDS	CDS	102965	103483	519	reverse
